model,num_clusters_loss,hav_loss,volume_loss
seq_20_eps_0.008_window_14_aesthetic,0.3441540189087391,662.0331980387369,0.822972315053145
seq_20_eps_0.008_window_14_infrastructure,0.3962217258910338,585.3577372233073,0.5338286459445953
seq_20_eps_0.008_window_14_environmental,0.5631089761853219,837.6205627441407,0.08257088288664818
seq_20_eps_0.008_window_14_safety,0.22761971246059562,770.6912037242543,0.19182757220484994
seq_30_eps_0.008_window_14_aesthetic,0.3759720650586215,724.4064608487216,0.9127362289211967
seq_30_eps_0.008_window_14_infrastructure,0.34118307855996216,579.1848893599076,0.6227056302807548
seq_30_eps_0.008_window_14_environmental,0.54743742197752,877.7610397338867,0.09850981878116727
seq_30_eps_0.008_window_14_safety,0.22114832773804666,788.2343109130859,0.18337364867329597
seq_40_eps_0.008_window_14_aesthetic,0.2922624780072106,707.35595703125,0.909961998462677
seq_40_eps_0.008_window_14_infrastructure,0.3477887362241745,689.0775655110677,0.5653117166625129
seq_40_eps_0.008_window_14_environmental,0.5002763015883309,1113.7019566127233,0.07385625503957272
seq_40_eps_0.008_window_14_safety,0.11132200558980306,587.8598378499349,0.20971975641118157
